[dhdDelta():00.51.16.0005] - Did not find deltaConfig.txt
[dhdOpenWithReset():00.51.16.0216] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.52.05.4249] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.52.43.5888] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.53.51.2308] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.54.23.4376] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.54.38.0169] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.55.20.0608] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.55.55.2264] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.57.19.6710] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():00.59.06.1074] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
